active_cases,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,deaths,last_updated_cases,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,situation_classification,state_id,state_name,subnotification_rate,trust_classification,data_last_refreshed
3345.0,10.0,,BR,Brasil,4.0,crescendo,1,0.03235338255859011,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,0.002989536621823617,,4018127,,,,,1,PB,Paraíba,0.9970104633781763,3.0,2021-01-20 09:14:52
21810.0,57.0,,BR,Brasil,9.0,estabilizando,15,0.03871479033691389,4.0,2020-03-27,,2020-03-27,1.0,estabilizando,0.006278074108688739,0.0025217790004585052,,9557071,,,,,0,PE,Pernambuco,0.9974782209995415,3.0,2021-01-20 09:14:52
735.0,12.0,,BR,Brasil,1.0,estabilizando,19,0.02696744759400927,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,0.014965986394557823,,3337357,,,,,0,AL,Alagoas,0.9850340136054422,3.0,2021-01-20 09:14:52
30.0,16.0,,BR,Brasil,0.0,estabilizando,13,0.05655380267769205,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,0.5402777777777777,,2298696,,,,,0,SE,Sergipe,0.45972222222222225,1.0,2021-01-20 09:14:52
3958.0,123.0,,BR,Brasil,15.0,estabilizando,8,0.08538926478094896,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,0.029304029304029304,,14873064,,,,,0,BA,Bahia,0.9706959706959707,3.0,2021-01-20 09:14:52
3675.0,189.0,,BR,Brasil,36.0,estabilizando,4,0.1020370034358599,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,0.0508843537414966,,21168791,,,,,0,MG,Minas Gerais,0.9491156462585034,3.0,2021-01-20 09:14:52
3030.0,54.0,,BR,Brasil,6.0,estabilizando,22,0.13437348363256318,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,0.017161716171617162,,4018650,,,,,0,ES,Espírito Santo,0.9828382838283828,3.0,2021-01-20 09:14:52
29940.0,493.0,,BR,Brasil,72.0,crescendo,3,0.35331712360706896,10.0,2020-03-27,,2020-03-27,1.0,estabilizando,0.006371292392914359,0.015965263861055446,,17264943,,,,,1,RJ,Rio de Janeiro,0.9840347361389445,3.0,2021-01-20 09:14:52
87000.0,1223.0,,BR,Brasil,171.0,estabilizando,7,0.2571917375727881,68.0,2020-03-27,,2020-03-27,10.0,crescendo,0.01829306177486385,0.013528735632183908,,45919049,,,,,0,SP,São Paulo,0.9864712643678161,3.0,2021-01-20 09:14:52
5295.0,125.0,,BR,Brasil,19.0,estabilizando,2,0.11107265839813811,2.0,2020-03-27,,2020-03-27,2.0,estabilizando,0.002623763584207987,0.022474032105760152,,11433957,,,,,0,PR,Paraná,0.9775259678942398,3.0,2021-01-20 09:14:52
